categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;e acordo com a Regra 19 do RIPEAM/COLREGs, quando uma embarcação navega em visibilidade restrita, qual é a responsabilidade dela em relação à velocidade?;A embarcação deve aumentar a velocidade para sair da área de visibilidade restrita o mais rápido possível;A embarcação deve manter sua velocidade normal, independentemente das condições de visibilidade;A embarcação deve reduzir a velocidade para um mínimo que permita manter seu rumo com segurança;A embarcação deve parar completamente até que a visibilidade melhore;A embarcação deve desligar suas máquinas para evitar colisões;A embarcação deve reduzir a velocidade para um mínimo que permita manter seu rumo com segurança
Arrais Amador;Geral;De acordo com a Regra 19 do RIPEAM/COLREGs, como uma embarcação que detecta a presença de outra apenas pelo radar deve proceder em caso de risco de abalroamento?;A embarcação deve manter seu rumo atual e continuar a monitorar a outra embarcação pelo radar;A embarcação deve imediatamente desligar seus sistemas de radar;A embarcação deve manobrar para evitar o risco de abalroamento com antecedência, evitando uma mudança de rumo em direção à outra embarcação;A embarcação deve fazer um sinal sonoro longo para alertar a outra embarcação;A embarcação deve acelerar para evitar a colisão;A embarcação deve manobrar para evitar o risco de abalroamento com antecedência, evitando uma mudança de rumo em direção à outra embarcação
Arrais Amador;Geral;Conforme a Regra 19 do RIPEAM/COLREGs, o que uma embarcação deve fazer quando ouvir o sinal de cerração de outra embarcação aparentemente por ante-a-vante de seu través?;A embarcação deve ignorar o sinal de cerração;A embarcação deve aumentar sua velocidade para passar pela outra embarcação;A embarcação deve reduzir sua velocidade ao mínimo que lhe permita manter seu rumo e navegar com extrema cautela;A embarcação deve desviar-se bruscamente da outra embarcação;A embarcação deve seguir normalmente e continuar sua rota;A embarcação deve reduzir sua velocidade ao mínimo que lhe permita manter seu rumo e navegar com extrema cautela
Arrais Amador;Geral;De acordo com a Regra 20 do RIPEAM/COLREGs, quando se aplicam as regras relativas às luzes?;As regras relativas às luzes se aplicam apenas durante a noite.;As regras relativas às luzes se aplicam durante o dia e a noite.;As regras relativas às luzes se aplicam apenas ao pôr e ao nascer do Sol.;As regras relativas às luzes se aplicam apenas em condições de visibilidade restrita.;As regras relativas às luzes se aplicam apenas quando houver tráfego intenso.;As regras relativas às luzes se aplicam apenas ao pôr e ao nascer do Sol.
Arrais Amador;Geral;"Qual é a definição de ""luz de mastro"" de acordo com a Regra 21 do RIPEAM/COLREGs?";Uma luz verde situada na proa da embarcação.;Uma luz vermelha situada na popa da embarcação;Uma luz branca contínua situada sobre o eixo longitudinal da embarcação, visível num setor horizontal de 225 graus desde a proa até 22,5 graus por ante-a-ré do través em ambos os bordos da embarcação.;Uma luz que pisca em intervalos regulares;Uma luz amarela situada no mastro da embarcação.;Uma luz branca contínua situada sobre o eixo longitudinal da embarcação, visível num setor horizontal de 225 graus desde a proa até 22,5 graus por ante-a-ré do través em ambos os bordos da embarcação.
Arrais Amador;Geral;"O que significa ""luz de alcançado"" de acordo com a Regra 21 do RIPEAM/COLREGs?";Uma luz verde situada na proa da embarcação.;Uma luz vermelha situada na popa da embarcação;Uma luz branca contínua situada sobre o eixo longitudinal da embarcação.;Uma luz que pisca em intervalos regulares de frequência igual ou superior a 120 lampejos por minuto.;Uma luz branca contínua situada tão próximo quanto possível da popa, visível num setor horizontal de 135 graus, e posicionada de modo a projetar sua luz sobre um setor de 67,5 graus, de cada bordo, a partir da popa;Uma luz branca contínua situada tão próximo quanto possível da popa, visível num setor horizontal de 135 graus, e posicionada de modo a projetar sua luz sobre um setor de 67,5 graus, de cada bordo, a partir da popa
Arrais Amador;Geral;De acordo com a Regra 23 do RIPEAM/COLREGs, que tipo de luz uma embarcação de propulsão mecânica com menos de 7 metros de comprimento e velocidade máxima não excedendo 7 nós pode exibir?;A embarcação deve exibir uma luz verde.;A embarcação deve exibir uma luz vermelha;A embarcação deve exibir uma luz circular branca;A embarcação deve exibir uma luz amarela intermitente;A embarcação não precisa exibir nenhuma luz;A embarcação deve exibir uma luz circular branca
Arrais Amador;Geral;Qual luz adicional deve ser exibida por uma embarcação de colchão de ar, quando operando sem calado, de acordo com a Regra 23 do RIPEAM/COLREGs?;Uma luz verde intermitente;Uma luz vermelha intermitente;Uma luz circular intermitente amarela;Uma luz azul intermitente;Uma luz branca intermitente;Uma luz circular intermitente amarela
Arrais Amador;Geral;De acordo com a Regra 23 do RIPEAM/COLREGs, que luzes uma embarcação de propulsão mecânica em movimento deve exibir?;Uma única luz de mastro à ré na cor azul;Luzes de bordos;Uma luz de reboque;Uma luz circular intermitente amarela;Uma luz circular branca no topo do mastro;Uma luz de reboque
Arrais Amador;Geral;Qual é a iluminação obrigatória para uma embarcação de propulsão mecânica empurrando ou rebocando a contra-bordo, exceto no caso de uma unidade integrada, de acordo com a Regra 24 do RIPEAM/COLREGs?;Duas luzes de mastro em linha vertical.;Uma luz de alcançado.;Luzes de bordos.;Luz de reboque acima da luz de alcançado.;tres luzes de mastro, em linha vertical;tres luzes de mastro, em linha vertical
Arrais Amador;Geral;De acordo com a regra 26b do RIPEAM/COLREGs, Uma embarcação engajada na pesca arrasto, em movimento ou fundeada deve;tres luzes circulares dispostas em linha vertical, sendo a superior branca a do centro verde e a inferior branca,;três luzes circulares dispostas em linha vertical, sendo a superior vermelha a do centro verde e a inferior branca,;duas luzes circulares dispostas em linha vertical, sendo a superior verde e a inferior branca,;uma luz circular disposta na linha vertical na cor branca;duas luzes circulares dispostas em linha vertical na cor verde;duas luzes circulares dispostas em linha vertical, sendo a superior verde e a inferior branca,
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Embarcações sem Governo entre o por e nascer do sol deve exibir ?;duas luzes circulares encarnadas dispostas em linha vertical, onde melhor possam ser vistas;uma luzes circulares encarnadas dispostas em linha vertical, onde melhor possam ser vistas;três luzes circulares encarnadas dispostas em linha vertical, onde melhor possam ser vistas;duas luzes circulares brancas dispostas em linha vertical, onde melhor possam ser vistas;duas luzes circulares amarela dispostas em linha vertical, onde melhor possam ser vistas;duas luzes circulares encarnadas dispostas em linha vertical, onde melhor possam ser vistas
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Embarcações sem Governo durante o dia deve exibir ?;três esferas ou marcas semelhantes dispostas lado a lado, onde melhor possam ser vistas;duas esferas ou marcas semelhantes dispostas lado a lado, onde melhor possam ser vistas;três esferas ou marcas semelhantes dispostas em linha vertical, onde melhor possam ser vistas;uma esferas ou marcas semelhantes dispostas em linha vertical, onde melhor possam ser vistas;duas esferas ou marcas semelhantes dispostas em linha vertical, onde melhor possam ser vistas;duas esferas ou marcas semelhantes dispostas em linha vertical, onde melhor possam ser vistas
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Embarcações sem Governo quando em seguimento entre o por e nascer do sol não deve exibir ?;Luz de Boreste Verde;Luz de Alcançado;Luz de Mastro;Luz de Fundeio;Luz de Bombordo Encarnada;Luz de Fundeio
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Sempre que o porte de uma embarcação engajada em operações submarinas durante o dia deve exibir ?;"Bandeira “A&quot;";"Bandeira “B&quot;";"Bandeira “C&quot;";"Bandeira “D&quot;";"Bandeira “E&quot;";"Bandeira “A&quot;"
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Sempre que o porte de uma embarcação engajada em operações submarinas durante o periodo do por do sol e nascer deve exibir ?;duas luzes amarelas;um luz branca;tres luzes circulares, em linha vertical, onde possam melhor ser vistas. A superior, central e inferior devem ser encarnadas;duas luzes circulares, em linha vertical, onde possam melhor ser vistas. A superior e inferior devem ser encarnadas;"tres luzes circulares, em linha vertical, onde possam melhor ser vistas. As luzes superior e inferior devem ser encarnadas e a central deve ser branca;";"tres luzes circulares, em linha vertical, onde possam melhor ser vistas. As luzes superior e inferior devem ser encarnadas e a central deve ser branca;"
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Uma embarcação engajada em operações de remoção de minas deve, durante o periodo do por do sol e nascer deve exibir ?;duas luzes circulares amarelas;duas luzes circulares verdes;três luzes circulares verdes;quatro luzes circulares verdes;três luzes circularesazul;três luzes circulares verdes
Arrais Amador;Geral;De acordo com a regra 27 do RIPEAM/COLREGs, Uma embarcação engajada em operações de remoção de minas deve, durante o dia deve exibir ?;três esferas um no tope do mastro e duas em cada lais da verga do mesmo mastro;três esferas um no tope do mastro e duas em cada lais da verga do mesmo mais a ré;duas esferas em cada lais da verga do mesmo mastro;quatro esferas um no tope do mastro e duas em cada lais da verga do mesmo mastro e outra no mastro de proa;três cones pretos sobrepostos no mastro principal;três esferas um no tope do mastro e duas em cada lais da verga do mesmo mais a ré
Arrais Amador;Geral;Uma embarcação com comprimento igual ou superior a 100 metros, fundeada, em visibilidade restrita, deverá soar:;Dois apitos curtos a cada 1 minuto;Um apito curto e o sino a vante;O sino a ré e o gongo a vante;O sino avante e um gongo a ré;O sino avante;O sino avante e um gongo a ré
Arrais Amador;Geral;"O termo ""embarcação a vela"" designa:";"O termo &quot;embarcação a vela&quot; designa:";Somente as embarcações à vela que estejam navegando;Somente as embarcações à vela que estejam atracadas;Qualquer embarcação a vela;Qualquer embarcação de vela, navegando, independente de sua propulsão;Somente as embarcações à vela que estejam navegando
Arrais Amador;Geral;Durante a noite, foi avistada uma luz verde piscando e, pela carta náutica, verificou-se a aproximação da entrada de um porto. Qual será o provável formato deste sinal?;Quadrado;Quadrado;Cúbico;Cilíndrico;Esférico;Cilíndrico
Arrais Amador;Geral;O balizamento de interior de porto obedecerá a regras definidas e deverá ser utilizado pelo navegante como;Orientação para uma navegação segura;Uma separação de locais e zonas de tráfego dos canais;Via navegável;Uma rota a ser seguida, obrigatoriamente, por qualquer embarcação;Uma rota a ser seguida, obrigatoriamente, por qualquer embarcação;Orientação para uma navegação segura
